City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Ust-Kuyga,RU,70.02,135.6,21.22,93,89,7.25,overcast clouds
334,Mont-De-Marsan,FR,44.0,-0.67,69.8,68,90,3.36,overcast clouds
335,Lensk,RU,60.73,114.93,28.15,87,100,1.59,overcast clouds
336,Paita,PE,-5.09,-81.11,71.6,73,2,9.17,clear sky
337,Kruisfontein,ZA,-34.0,24.73,59.0,89,79,5.99,broken clouds
338,Mocuba,MZ,-16.84,36.99,77.41,57,78,9.66,broken clouds
339,Elblag,PL,54.15,19.41,55.0,81,42,1.01,scattered clouds
340,Ercis,TR,39.03,43.36,57.2,50,0,3.36,clear sky
341,Adrar,MR,20.5,-10.07,97.63,11,0,12.88,clear sky
342,Payson,US,40.04,-111.73,66.99,50,1,5.82,clear sky
343,Zhanaozen,KZ,43.3,52.8,50.61,45,0,11.3,clear sky
344,Ust-Nera,RU,64.57,143.2,22.51,87,24,7.18,few clouds
345,Gamba,GA,-2.65,10.0,77.23,84,100,8.52,light rain
346,Vinh,VN,18.67,105.67,74.98,84,100,7.9,light rain
347,Port Blair,IN,11.67,92.75,80.65,80,100,6.46,light rain
348,Hauterive,FR,46.09,3.45,66.2,52,75,3.36,broken clouds
349,Caceres,ES,39.52,-6.37,84.99,25,87,1.99,overcast clouds
350,Port Elizabeth,ZA,-33.92,25.57,57.2,93,75,19.46,light rain
351,Port Lincoln,AU,-34.73,135.87,55.15,77,0,6.04,clear sky
352,Cortez,US,37.35,-108.59,68.0,42,1,3.67,clear sky
353,Sampit,ID,-2.53,112.95,74.82,95,100,1.59,light rain
354,Lianzhou,CN,24.78,112.38,61.92,85,1,2.62,light rain
355,Olenegorsk,RU,68.15,33.3,47.95,89,84,6.78,broken clouds
356,Alyangula,AU,-13.85,136.42,73.4,94,0,4.25,clear sky
357,Barcelos,PT,41.54,-8.62,71.01,77,66,10.29,broken clouds
358,Shache,CN,38.42,77.24,52.29,38,67,6.06,broken clouds
359,Olden,NO,61.84,6.81,46.4,81,20,9.17,few clouds
360,Tessalit,ML,20.2,1.01,101.53,8,64,16.4,broken clouds
361,Jalu,LY,29.03,21.55,83.03,35,0,7.52,clear sky
362,Labuhan,ID,-6.88,112.21,81.01,75,90,7.54,heavy intensity rain
